Ligand ID,Structure ID,Structure link,Glytoucan ID,Glytoucan link
64,48,https://sugarbind.expasy.org/structures/48,G37830TX,https://glytoucan.org/Structures/Glycans/G37830TX
50,48,https://sugarbind.expasy.org/structures/48,G37830TX,https://glytoucan.org/Structures/Glycans/G37830TX
62,60,https://sugarbind.expasy.org/structures/60,G67988RO,https://glytoucan.org/Structures/Glycans/G67988RO
81,76,https://sugarbind.expasy.org/structures/76,G83212YI,https://glytoucan.org/Structures/Glycans/G83212YI
82,77,https://sugarbind.expasy.org/structures/77,G72548RZ,https://glytoucan.org/Structures/Glycans/G72548RZ
34,32,https://sugarbind.expasy.org/structures/32,G39064VB,https://glytoucan.org/Structures/Glycans/G39064VB
98,92,https://sugarbind.expasy.org/structures/92,G03277YI,https://glytoucan.org/Structures/Glycans/G03277YI
116,110,https://sugarbind.expasy.org/structures/110,G30207PZ,https://glytoucan.org/Structures/Glycans/G30207PZ
145,137,https://sugarbind.expasy.org/structures/137,G87727XV,https://glytoucan.org/Structures/Glycans/G87727XV
154,146,https://sugarbind.expasy.org/structures/146,G66086EX,https://glytoucan.org/Structures/Glycans/G66086EX
179,168,https://sugarbind.expasy.org/structures/168,G23581GL,https://glytoucan.org/Structures/Glycans/G23581GL
191,179,https://sugarbind.expasy.org/structures/179,G28528AG,https://glytoucan.org/Structures/Glycans/G28528AG
6,6,https://sugarbind.expasy.org/structures/6,G74621DY,https://glytoucan.org/Structures/Glycans/G74621DY
41,39,https://sugarbind.expasy.org/structures/39,G79389NT,https://glytoucan.org/Structures/Glycans/G79389NT
45,43,https://sugarbind.expasy.org/structures/43,G00050MO,https://glytoucan.org/Structures/Glycans/G00050MO
78,74,https://sugarbind.expasy.org/structures/74,G56478LD,https://glytoucan.org/Structures/Glycans/G56478LD
51,49,https://sugarbind.expasy.org/structures/49,G04715SK,https://glytoucan.org/Structures/Glycans/G04715SK
54,52,https://sugarbind.expasy.org/structures/52,G00711NG,https://glytoucan.org/Structures/Glycans/G00711NG
55,53,https://sugarbind.expasy.org/structures/53,G76297JC,https://glytoucan.org/Structures/Glycans/G76297JC
72,68,https://sugarbind.expasy.org/structures/68,G70323CJ,https://glytoucan.org/Structures/Glycans/G70323CJ
161,152,https://sugarbind.expasy.org/structures/152,G98173LG,https://glytoucan.org/Structures/Glycans/G98173LG
